ticker,description
0136.HK,China Ruyi
6088.HK,Fit Hon Teng
0179.HK,Johnson Elec H
3311.HK,China State Con
1558.HK,Hec Cj Pharm
1316.HK,Nexteer
2607.HK,Sh Pharma
2158.HK,Yidu Tech
3898.HK,Times Electric
2555.HK,Chabaidao
0914.HK,Conch Cement
6818.HK,Ceb Bank
2400.HK,Xd Inc
6060.HK,Za Online
2616.HK,Cstone Pharma-B
1055.HK,China South Air
1672.HK,Ascletis-B
1896.HK,Maoyan Ent
1138.HK,Cosco Ship Engy
0189.HK,Dongyue Group
0697.HK,Shoucheng
2171.HK,Carsgen-B
2196.HK,Fosun Pharma
1833.HK,Pa Gooddoctor
3900.HK,Greentown China
6078.HK,Hygeia Health
0880.HK,Sjm Holdings
2273.HK,Gushengtang
0340.HK,Tongguan Gold
2858.HK,Yixin
2888.HK,Stanchart
1128.HK,Wynn Macau
2666.HK,Uni Medical
9922.HK,Jiumaojiu
1910.HK,Samsonite
2218.HK,Andre Juice
9636.HK,Jf Smartinvest
6886.HK,Htsc
0303.HK,Vtech Holdings
0390.HK,China Railway
2157.HK,Lepu Bio-B
0019.HK,Swire Pacific A
6680.HK,Jlmag
2556.HK,Marketingforce
3320.HK,Chinares Pharma
1274.HK,Imotiontech
1038.HK,Cki Holdings
1913.HK,Prada
0144.HK,China Mer Port
1071.HK,Huadian Power
0522.HK,Asmpt
2155.HK,Morimatsu Intl
0586.HK,Conch Venture
6098.HK,Cg Services
3606.HK,Fuyao Glass
0576.HK,Zhejiangexpress
2208.HK,Goldwind
1797.HK,East Buy
0384.HK,China Gas Hold
0392.HK,Beijing Ent
1880.HK,Ctg Duty-Free
0371.HK,Bj Ent Water
1513.HK,Livzon Pharma
9676.HK,Shiyue Daotian
2233.HK,Westchinacement
1735.HK,Central New Egy
0551.HK,Yue Yuen Ind
6099.HK,Cmsc
0667.HK,China East Edu
0719.HK,Shandong Xinhua
1800.HK,China Comm Cons
1997.HK,Wharf Reic
1044.HK,Hengan Int'L
3323.HK,Cnbm
6110.HK,Topsports
2588.HK,Boc Aviation
1651.HK,Tsugami China
2172.HK,Microport Neuro
1766.HK,Crrc
9606.HK,Dualitybio-B
2488.HK,Launch Tech
0220.HK,U-Presid China
1686.HK,Sunevision
1541.HK,Immuneonco-B
1341.HK,Hao Tian Intl
1157.HK,Zoomlion
0083.HK,Sino Land
2799.HK,Citic Famc
1415.HK,Cowell
0270.HK,Guangdong Inv
1815.HK,Everest Gold
0101.HK,Hang Lung Ppt
1066.HK,Weigao Group
1698.HK,Tme-Sw
2276.HK,Conant Optical
9997.HK,Kangji Medical
1776.HK,Gf Sec
2255.HK,Haichang Hldg
2282.HK,Mgm China
0187.HK,Jingcheng Mac
0553.HK,Nanjing Panda
1477.HK,Ocumension-B
6831.HK,Green Tea Group
1882.HK,Haitian Int'L
2256.HK,Abbisko-B
2866.HK,Cosco Ship Dev
0868.HK,Xinyi Glass
2507.HK,Cirrus
2005.HK,Ssy Group
6963.HK,Sunshine Ins
0639.HK,Shougang Res
0257.HK,Eb Environment
1302.HK,Lifetech Sci
2192.HK,Medlive
0152.HK,Shenzhen Int'L
0856.HK,Vstecs
0552.HK,Chinacomservice
0148.HK,Kingboard Hldg
1186.HK,China Rail Cons
2238.HK,Gac Group
9696.HK,Tianqi Lithium
1199.HK,Cosco Ship Port
1888.HK,Kb Laminates
0123.HK,Yuexiu Property
0863.HK,Osl Group
0991.HK,Datang Power
0696.HK,Travelsky Tech
0177.HK,Jiangsu Express
0917.HK,Qunabox Group
6066.HK,Csc
6865.HK,Flat Glass
0151.HK,Want Want China
0200.HK,Melco Int'L Dev
2149.HK,Batelab
3360.HK,Fe Horizon
3931.HK,Calb
1072.HK,Dongfang Elec
2586.HK,Dmall
1359.HK,China Cinda
2669.HK,China Ovs Ppt
0570.HK,Trad Chi Med
0817.HK,China Jinmao
1610.HK,Cofco Joycome
2121.HK,Ainnovation
6979.HK,Zjld
3969.HK,China Crsc
1972.HK,Swireproperties
2510.HK,Ts Lines
1164.HK,Cgn Mining
0297.HK,Sinofert
0357.HK,Meilan Airport
0956.HK,China Suntien
1361.HK,361 Degrees
0670.HK,China East Air
1908.HK,C&D Intl Group
0598.HK,Sinotrans
0107.HK,Sichuan Express
2285.HK,Chervon
2562.HK,Synagistics
0017.HK,New World Dev
2883.HK,China Oilfield
1579.HK,Yihai Intl
2016.HK,Czbank
9923.HK,Yeahka
6699.HK,Angelalign
6601.HK,Cheerwin Gp
0546.HK,Fufeng Group
